origin,destination,carrier_old,current_rate,currency_old,effective_date,lane,carrier_new,rate,fuel surcharge,currency_new,eff_date,expdate,remarks,random notes,is_new_lane,is_removed_lane,rate_diff,percent_change,change_type
AMD,BPL,,,,,AMD-BPL,CargoMax,861.0,306.55,,2025-11-30,2025-11-17,,Property bed over turn these production indeed.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL ,BlueDart,27140.0,113.42,,2026-04-11,2026-08-21,priority,Worry far age tough someone interesting make.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,QuickShip,4387.0,87.1,,2025-10-04,2026-01-20,priority,Before pick culture often student detail community rise.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,CargoMax,2360.0,392.09,,2025-11-29,2025-12-02,Special handling,Star move next nature before crime decide.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,CargoMax,718.0,58.98,usd,2025-11-09,2025-10-15,Special handling,Fire everyone once room.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,LogiX,723.0,302.28,,2025-10-06,2026-09-15,Urgent,Get floor huge year citizen.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,LogiX,515.0,45.03,usd,2025-09-21,2025-09-26,,Professional mean low child.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,BlueDart,1338.0,50.13,usd,2026-01-15,2026-05-22,,Clear indicate the.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,CargoMax,1847.0,442.54,EURO,2026-04-10,2026-10-09,priority,Ground him now body conference.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,LogiX,1765.0,13.31,usd,2025-09-15,2026-08-26,check rate,Key decade if front her debate against.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,BlueDart,1003.0,359.48,EURO,2025-08-18,2026-03-24,,Offer support return stuff society available.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,FastMove,2646.0,331.49,usd,2025-09-25,2026-01-19,Special handling,Against feel former food themselves.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,BlueDart,4388.0,63.27,,2025-12-15,2026-01-07,Special handling,Pick maintain all save.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,BlueDart,1338.0,50.13,usd,2026-01-15,2026-05-22,,Clear indicate the.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,LogiX,2642.0,372.15,usd,2025-10-09,2026-04-08,,Child market sometimes.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,LogiX,1597.0,216.62,usd,2026-04-11,2026-03-07,,Stand body chance either contain.,True,False,,,New Lane
AMD,BPL,,,,,AMD-BPL,CargoMax,3987.0,133.3,usd,2025-12-18,2026-06-03,check rate,Election middle great despite claim me.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,QuickShip,4116.0,447.11,INR,2026-01-22,2026-05-15,check rate,Old reason anyone image.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI ,FastMove,2430.0,75.5,usd,2026-03-15,2026-12-17,Urgent,Open feel message reality actually thought.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,QuickShip,2283.0,16.1,inr,2026-05-02,2026-09-10,Special handling,Chance candidate commercial kid attack house build policy.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,FastMove,4974.0,495.83,inr,2026-01-07,2026-07-19,,Through image another half project free budget.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,FastMove,4574.0,307.97,EURO,2026-02-27,2026-12-12,check rate,Appear carry summer power loss.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,CargoMax,1960.0,62.13,Usd,2025-06-03,2026-01-04,check rate,Open line Democrat black kind.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,QuickShip,2094.0,230.41,usd,2025-12-29,2026-05-30,,Course writer feeling some remain according.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI ,CargoMax,2859.0,124.5,,2026-04-04,2026-04-29,check rate,Hit knowledge majority.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,BlueDart,3585.0,113.36,EURO,2025-09-22,2025-10-02,Special handling,Place result station become.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,BlueDart,1703.0,417.59,EURO,2025-11-17,2026-07-07,priority,Whole similar different spend book after.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,BlueDart,3585.0,113.36,EURO,2025-09-22,2025-10-02,Special handling,Place result station become.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,CargoMax,771.0,287.19,EURO,2025-09-30,2026-09-26,Urgent,Explain recognize community run.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,LogiX,1831.0,240.84,,2025-12-06,2026-04-25,,Safe out sort environment bar subject rather.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,CargoMax,1026.0,157.82,inr,2025-06-17,2026-06-17,Special handling,I establish law far almost.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,QuickShip,4014.0,73.81,,2025-07-22,2026-04-26,check rate,Director add message.,True,False,,,New Lane
AMD,GOI,,,,,AMD-GOI,QuickShip,2094.0,230.41,usd,2025-12-29,2026-05-30,,Course writer feeling some remain according.,True,False,,,New Lane
AMD,IND,,,,,AMD-IND,FastMove,1389.0,287.65,inr,2026-02-07,2026-03-21,,Ready human movie back least fire.,True,False,,,New Lane
